Y,Цена на экспорт лома. Ростов-на-Дону. CPT. руб/т,Ключевая ставка. пп,Запасы лома на складах металлургических предприятий. тыс т,Объем экспорта лома. тыс т,Цена на кв заготовку на мир рынке. руб/т с НДС ,Цена на арматуру. 10-32 мм. А500С. CPT. руб/т с НДС ,Поставки лома по базе РЖД. тыс т,Курс доллара,Цена на передельный чугун. EXW руб/т с НДС,Поставки лома по экспертн Оц. тыс т,Потребность в ломе. тыс т,Цена на лом в Турции HMS 1/2 80:20. CFR Турция. $/т,Инфляция цепная. %,Поставки лома по Металл-Эксперту тыст,Цена на кв заготовку на мир рынке. долл/т с НДС 
10139.50,10287.23,7.75,3155.00,282.20,19314.80,25585.33,867.09,29.99,15369.00,870.00,1033.00,506.50,2.37,1059.11,644.00
10779.75,9881.23,7.76,2188.00,416.15,18267.07,27485.67,1170.97,29.32,15517.00,1166.00,1262.00,457.00,0.78,1541.19,623.00
11106.50,9620.73,8.00,1425.00,378.69,17818.27,26216.67,1524.43,28.46,15970.00,1446.00,1585.00,456.00,0.62,1871.48,626.00
10560.00,9211.56,8.00,1129.50,488.85,17187.42,24843.00,1914.03,28.08,18600.00,1947.00,1848.00,445.25,0.43,2198.58,612.00
10084.50,9497.66,8.23,1348.00,486.73,18101.42,24544.33,1969.63,27.93,18600.00,2209.00,2157.00,462.00,0.48,2148.92,648.00
10292.25,9879.46,8.25,1612.00,522.77,18863.34,24434.00,2081.22,27.99,18408.00,2329.00,2330.00,470.20,0.23,2267.40,674.00
10378.75,9685.55,8.25,1978.00,529.56,18617.47,25709.67,2025.69,27.91,17995.00,2322.00,2495.00,467.50,-0.01,2390.22,667.00
10320.50,9227.62,8.25,2402.00,477.64,19576.36,27804.00,2141.08,28.75,17700.00,2349.00,2348.00,466.25,-0.24,2424.85,681.00
10188.75,9782.95,8.25,3016.00,491.04,20635.92,27987.33,2007.59,30.57,17110.00,2202.00,2197.00,463.60,-0.04,2200.90,675.00
9599.50,9573.39,8.25,3668.00,565.55,18864.29,27481.00,1902.57,31.39,16815.00,2149.00,2154.00,435.25,0.48,2146.47,601.00
9425.50,9339.36,8.25,4148.00,502.23,17754.04,25877.00,1578.88,30.82,16815.00,1810.00,1839.00,419.00,0.42,1796.05,576.00
9420.00,9951.19,8.20,4309.00,418.84,18611.25,25329.33,1353.38,31.49,17965.00,1488.50,1574.00,447.80,0.44,1479.75,591.00
9690.75,10371.12,8.00,3951.00,316.01,18680.50,25570.33,771.78,31.24,16755.00,793.00,917.00,452.25,0.50,829.81,598.00
10098.50,9503.58,8.00,2934.00,410.42,17393.34,25907.67,995.52,29.89,16725.00,982.00,1056.00,434.00,0.37,1040.49,582.00
